time	V(a,b)	I(V4)
1.892621428573322e-002	2.883298e+002	2.553694e+000
1.905064285716191e-002	2.906797e+002	2.655358e+000
1.917507142859061e-002	2.923999e+002	2.751533e+000
1.929950000001930e-002	2.934903e+002	2.842220e+000
1.944450000001945e-002	2.939290e+002	2.939326e+000
1.945250000001945e-002	2.939277e+002	2.944430e+000
1.953292857144811e-002	2.937636e+002	2.994351e+000
1.961335714287676e-002	2.933311e+002	3.041418e+000
1.969378571430541e-002	2.926303e+002	3.085632e+000
1.977421428573406e-002	2.916612e+002	3.126994e+000
1.985464285716272e-002	2.904238e+002	3.165502e+000
1.993507142859137e-002	2.889181e+002	3.201157e+000
2.001550000002002e-002	2.871440e+002	3.233959e+000
2.008121428573437e-002	2.854973e+002	3.258509e+000
2.014692857144872e-002	2.836785e+002	3.281028e+000
2.021264285716307e-002	2.816875e+002	3.301517e+000
2.027835714287742e-002	2.795245e+002	3.319975e+000
2.034407142859178e-002	2.771894e+002	3.336402e+000
2.040978571430612e-002	2.746821e+002	3.350799e+000
2.047550000002048e-002	2.720028e+002	3.363165e+000
2.047650000002048e-002	2.719608e+002	3.363337e+000
2.062264285716348e-002	2.653435e+002	3.383252e+000
2.076878571430648e-002	2.579836e+002	3.392919e+000
2.091492857144949e-002	2.498809e+002	3.392338e+000
2.106107142859249e-002	2.410355e+002	3.381508e+000
2.120721428573550e-002	2.314474e+002	3.360431e+000
2.135335714287850e-002	2.211166e+002	3.329105e+000
2.149950000002150e-002	2.100430e+002	3.287530e+000
2.150050000002150e-002	2.099655e+002	3.287212e+000
2.159792857145017e-002	2.022424e+002	3.253828e+000
2.169535714287884e-002	1.942744e+002	3.216199e+000
2.179278571430751e-002	1.860614e+002	3.174324e+000
2.189021428573618e-002	1.776034e+002	3.128204e+000
2.198764285716485e-002	1.689005e+002	3.077839e+000
2.208507142859352e-002	1.599526e+002	3.023228e+000
2.218250000002218e-002	1.507598e+002	2.964372e+000
2.219721428573649e-002	1.493577e+002	2.955157e+000
2.221192857145079e-002	1.479511e+002	2.945853e+000
2.222664285716509e-002	1.465400e+002	2.936458e+000
2.224135714287939e-002	1.451245e+002	2.926972e+000
2.225607142859369e-002	1.437045e+002	2.917397e+000
2.227078571430799e-002	1.422799e+002	2.907731e+000
2.228550000002229e-002	1.408509e+002	2.897975e+000
2.252450000002253e-002	1.170665e+002	2.727261e+000
2.267064285716553e-002	1.019233e+002	2.610855e+000
2.281678571430853e-002	8.658890e+001	2.487524e+000
2.296292857145154e-002	7.106322e+001	2.357268e+000
2.310907142859454e-002	5.534628e+001	2.220087e+000
2.325521428573754e-002	3.943809e+001	2.075980e+000
2.340135714288055e-002	2.333866e+001	1.924949e+000
2.354750000002355e-002	7.047981e+000	1.766992e+000
2.354850000002355e-002	6.937210e+000	1.765899e+000
2.369464285716656e-002	-9.375812e+000	1.602299e+000
2.384078571430956e-002	-2.553910e+001	1.435136e+000
2.398692857145256e-002	-4.155266e+001	1.264410e+000
2.413307142859556e-002	-5.741648e+001	1.090123e+000
2.427921428573857e-002	-7.313057e+001	9.122735e-001
2.442535714288157e-002	-8.869492e+001	7.308617e-001
2.457150000002457e-002	-1.041095e+002	5.458876e-001
2.457250000002458e-002	-1.042132e+002	5.446248e-001
2.463350000002464e-002	-1.105134e+002	4.673463e-001
2.469450000002470e-002	-1.167470e+002	3.899233e-001
2.475550000002476e-002	-1.229141e+002	3.123557e-001
2.481650000002482e-002	-1.290146e+002	2.346435e-001
2.487750000002488e-002	-1.350485e+002	1.567868e-001
2.493850000002494e-002	-1.410158e+002	7.878556e-002
2.499950000002500e-002	-1.469165e+002	6.397539e-004
2.504607142859648e-002	-1.513666e+002	-5.899163e-002
2.509264285716795e-002	-1.557667e+002	-1.185590e-001
2.513921428573943e-002	-1.601168e+002	-1.780623e-001
2.518578571431090e-002	-1.644168e+002	-2.375016e-001
2.523235714288238e-002	-1.686669e+002	-2.968769e-001
2.527892857145385e-002	-1.728670e+002	-3.561881e-001
2.532550000002533e-002	-1.770171e+002	-4.154354e-001
2.559650000002560e-002	-2.000250e+002	-7.568101e-001
2.574264285716860e-002	-2.116558e+002	-9.391600e-001
2.588878571431160e-002	-2.225680e+002	-1.117345e+000
2.603492857145461e-002	-2.327615e+002	-1.291366e+000
2.618107142859761e-002	-2.422365e+002	-1.461223e+000
2.632721428574062e-002	-2.509927e+002	-1.626915e+000
2.647335714288362e-002	-2.590304e+002	-1.788443e+000
2.661950000002662e-002	-2.663494e+002	-1.945806e+000
2.662050000002662e-002	-2.663962e+002	-1.946854e+000
2.675592857145533e-002	-2.724148e+002	-2.087007e+000
2.689135714288404e-002	-2.776947e+002	-2.220896e+000
2.702678571431274e-002	-2.822360e+002	-2.348523e+000
2.716221428574145e-002	-2.860386e+002	-2.469886e+000
2.729764285717016e-002	-2.891026e+002	-2.584987e+000
2.743307142859887e-002	-2.914280e+002	-2.693825e+000
2.756850000002757e-002	-2.930147e+002	-2.796400e+000
2.764450000002765e-002	-2.935581e+002	-2.850352e+000
2.766392857145624e-002	-2.936583e+002	-2.863772e+000
2.768335714288483e-002	-2.937428e+002	-2.877037e+000
2.770278571431342e-002	-2.938116e+002	-2.890146e+000
2.772221428574201e-002	-2.938645e+002	-2.903100e+000
2.774164285717060e-002	-2.939017e+002	-2.915899e+000
2.776107142859919e-002	-2.939232e+002	-2.928542e+000
2.778050000002778e-002	-2.939289e+002	-2.941030e+000
2.785478571431357e-002	-2.938038e+002	-2.987390e+000
2.792907142859936e-002	-2.934495e+002	-3.031326e+000
2.800335714288515e-002	-2.928660e+002	-3.072839e+000
2.807764285717094e-002	-2.920534e+002	-3.111928e+000
2.815192857145673e-002	-2.910116e+002	-3.148594e+000
2.822621428574252e-002	-2.897406e+002	-3.182837e+000
2.830050000002830e-002	-2.882404e+002	-3.214657e+000
2.866850000002867e-002	-2.775127e+002	-3.334321e+000
2.881464285717168e-002	-2.716990e+002	-3.364184e+000
2.896078571431468e-002	-2.651176e+002	-3.383781e+000
2.910692857145768e-002	-2.577684e+002	-3.393113e+000
2.925307142860069e-002	-2.496516e+002	-3.392179e+000
2.939921428574369e-002	-2.407671e+002	-3.380979e+000
2.954535714288669e-002	-2.311149e+002	-3.359514e+000
2.969150000002969e-002	-2.206950e+002	-3.327783e+000
2.969250000002970e-002	-2.206218e+002	-3.327531e+000
2.980378571431552e-002	-2.122413e+002	-3.296369e+000
2.991507142860135e-002	-2.035273e+002	-3.259596e+000
3.002635714288717e-002	-1.944798e+002	-3.217213e+000
3.013764285717300e-002	-1.850989e+002	-3.169220e+000
3.024892857145882e-002	-1.753846e+002	-3.115617e+000
3.036021428574465e-002	-1.653368e+002	-3.056404e+000
3.047150000003047e-002	-1.549556e+002	-2.991580e+000
3.048364285717334e-002	-1.538106e+002	-2.984210e+000
3.049578571431621e-002	-1.526624e+002	-2.976778e+000
3.050792857145908e-002	-1.515110e+002	-2.969284e+000
3.052007142860195e-002	-1.503565e+002	-2.961728e+000
3.053221428574482e-002	-1.491988e+002	-2.954109e+000
3.054435714288769e-002	-1.480379e+002	-2.946429e+000
3.055650000003056e-002	-1.468739e+002	-2.938686e+000
3.071650000003072e-002	-1.312588e+002	-2.830980e+000
3.084392857145942e-002	-1.184009e+002	-2.737187e+000
3.097135714288812e-002	-1.053465e+002	-2.637691e+000
3.109878571431681e-002	-9.209552e+001	-2.532492e+000
3.122621428574552e-002	-7.864799e+001	-2.421591e+000
3.135364285717422e-002	-6.500391e+001	-2.304986e+000
3.148107142860291e-002	-5.116328e+001	-2.182679e+000
3.160850000003161e-002	-3.712611e+001	-2.054670e+000
